#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2016-10-22 18:43::04.705

Frequency (Hz),Channel 2 (dB),Channel 2 (deg)
3304.6092184368736,-57.095979581261673,-14.271734819304314
3350.701402805611,-53.671983367353683,-69.083417354872267
3396.7935871743489,-52.100373372551573,-123.70249290078283
3442.8857715430863,-51.442471270535833,-179.85342803838876
3488.9779559118238,-51.345474397289095,124.83974296214062
3535.0701402805612,-52.141045108673516,67.49638228384579
3581.1623246492986,-53.576111316374195,12.013029827265314
3627.2545090180361,-56.758573881452463,-42.087064747736918
3673.3466933867735,-63.479966732440509,-95.343472099882689
3719.4388777555109,-74.663737479037806,14.232261530062488
3765.5310621242484,-59.664036125779056,-29.855185535744454
3811.6232464929858,-55.190891088041887,-83.036164639765616
3857.7154308617232,-52.712921109220922,-136.85341459521473
3903.8076152304611,-51.518998071076673,166.34138087219463
3949.8997995991986,-51.510755829470227,110.68490093597413
3995.991983967936,-51.621086775466431,53.483229596276992
4042.0841683366734,-52.58330761272515,-1.7322117230156664
4088.1763527054109,-55.085764843047485,-55.860526314358268
4134.2685370741483,-59.899676680273977,-108.16193778158836
4180.3607214428857,-77.764578894892864,-132.05185664572252
4226.4529058116232,-62.384916771189502,-45.256678109201268
4272.5450901803606,-56.456976382177459,-95.183564698947009
4318.637274549098,-53.442326977612417,-152.23302695467723
4364.7294589178355,-51.918919809191117,152.40355136903543
4410.8216432865729,-51.339199915369285,94.774130690567191
4456.9138276553103,-51.260953421764938,40.295655262189229
4503.0060120240478,-52.099513132040251,-15.492135620526312
4549.0981963927852,-54.151727688179491,-69.510539367350731
4595.1903807615226,-58.341718235014184,-122.29909716210872
4641.2825651302601,-70.4316562754437,-174.64699254524885
4687.3747494989984,-65.231897814432713,-60.983003723512745
4733.4669338677359,-57.256707826813305,-110.3877160277496
4779.5591182364733,-54.130349330499257,-166.33196016457646
4825.6513026052107,-52.23924681686335,137.63929919291496
4871.7434869739482,-51.236227073552051,80.650742585879385
4917.8356713426856,-51.17594042771934,24.687914697731863
4963.927855711423,-51.903922831022598,-30.851132294545238
5010.0200400801605,-53.808032587320881,-84.007997271722118
5056.1122244488979,-57.928941182892679,-136.17447230810939
5102.2044088176353,-68.009121842379713,172.5528180108316
5148.2965931863728,-66.97214254355309,-69.908522100547785
5194.3887775551102,-57.827628989211355,-123.44366843864081
5240.4809619238476,-54.395617499552628,179.58303905995894
5286.5731462925851,-52.32641323960901,123.26600137104833
5332.6653306613225,-51.42230139292942,66.08076828467803
5378.7575150300599,-51.18982358920217,10.877991842906951
5424.8496993987974,-52.216479742464593,-43.769285933861113
5470.9418837675348,-54.20309983515493,-97.599841602687022
5517.0340681362723,-58.316544467335653,-151.0781166817801
5563.1262525050097,-70.8696927874675,163.25606262873509
5609.2184368737471,-64.448600842151507,-82.401274393410475
5655.3106212424846,-56.595270194882495,-138.61056679106275
5701.402805611222,-53.525324885018627,164.72302244506915
5747.4949899799603,-51.837993196829402,108.73951062981476
