#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2016-11-03 20:52::38.182

Frequency (Hz),Channel 2 (dB),Channel 2 (deg)
1000,-0.14691701185212072,30.480457357160439
1046.0921843687374,-0.12532299084204526,-9.8226010127941095
1092.1843687374749,-0.10542859896500781,-50.143426584339977
1138.2765531062125,-0.086557227254277266,-90.469900621947772
1184.36873747495,-0.068528534040693603,-130.8315168488256
1230.4609218436874,-0.052479936566977546,-171.20261074329434
1276.5531062124248,-0.036804565463034698,148.40427071198133
1322.6452905811623,-0.02386618253473646,107.99814474358107
1368.7374749498997,-0.012737409390719975,67.570455219707696
1414.8296593186374,-0.0034900727399802271,27.134788203027171
1460.9218436873748,0.0037490247740649208,-13.316795048148578
1507.0140280561122,0.0089024493662399687,-53.778177364972088
1553.1062124248497,0.010022216364159783,-94.258406516004243
1599.1983967935871,0.0089053288950155778,-134.7456731770107
1645.2905811623245,0.0064011418619637946,-175.23494456720647
1691.3827655310622,0.00022385326483666577,144.25049413416727
1737.4749498997996,-0.0060853734167847784,103.73415870159802
1783.5671342685371,-0.015704484002605684,63.213905153065753
1829.6593186372745,-0.027546552089685653,22.693202110002915
1875.7515030060119,-0.040941324856950873,-17.825398490315091
1921.8436873747496,-0.058337235224704242,-58.355452516339597
1967.935871743487,-0.076355833586353394,-98.886935321079434
2014.0280561122245,-0.09959755005903366,-139.4174448282518
2060.1202404809619,-0.12220175632114783,-179.94741129607371
2106.2124248496993,-0.14447888229187805,139.52263988348668
2152.3046092184368,-0.17062785099895786,98.988921164936272
2198.3967935871742,-0.19344873591244488,58.461509164507959
2244.4889779559117,-0.22121480270820518,17.941908798603329
2290.5811623246491,-0.24665054162822297,-22.566377588501176
2336.673346693387,-0.27197119520258556,-63.091373824716669
2382.7655310621244,-0.2993567730659038,-103.60078448988065
2428.8577154308618,-0.32404832666166461,-144.12345926417353
2474.9498997995993,-0.34906999257084481,175.34466674850495
2521.0420841683367,-0.37234746463444029,134.83421893801648
2567.1342685370741,-0.3934438372907863,94.306073485360884
2613.2264529058116,-0.41252390332466066,53.754581287084164
2659.318637274549,-0.43112726309031058,13.221593428958371
2705.4108216432865,-0.44573904469984871,-27.318552398706522
2751.5030060120239,-0.45864688734104875,-67.871810986555261
2797.5951903807613,-0.46869144167839993,-108.44505696020468
2843.6873747494992,-0.47397692126084329,-149.05134034317194
2889.7795591182366,-0.47874482031445975,170.33867639604657
2935.8717434869741,-0.47833031163693684,129.68985119328727
2981.9639278557115,-0.47282778086232385,89.006439148152452
3028.056112224449,-0.46480402911493512,48.290980548800157
3074.1482965931864,-0.45176710058141961,7.5438042842227162
3120.2404809619238,-0.4380361259420264,-33.231946679772626
3166.3326653306613,-0.4184993230154691,-74.074559843838202
3212.4248496993987,-0.39638487350482787,-114.97361793557997
3258.5170340681361,-0.37254569982214542,-155.8932375615388
3304.6092184368736,-0.34091490812546654,163.09383211775349
3350.701402805611,-0.30977220416316659,122.0313404216008
3396.7935871743489,-0.27638823703055704,80.852348112638182
3442.8857715430863,-0.24212827358763758,39.6416917095532
3488.9779559118238,-0.20588475496282635,-1.6698380365353245
3535.0701402805612,-0.16880627402318288,-43.062337512461184
3581.1623246492986,-0.13193952672188655,-84.545174736661977
3627.2545090180361,-0.099892772527509499,-126.12905071879661
3673.3466933867735,-0.069206356803779179,-167.80249802254423
3719.4388777555109,-0.041564496578472929,150.43063071967561
3765.5310621242484,-0.018071459962908761,108.57168733595365
3811.6232464929858,-0.0035164331468603605,66.604825178705227
3857.7154308617232,0.0052632830107461918,24.528884529642539
3903.8076152304611,0.0093364552222013914,-17.600542827458206
3949.8997995991986,0.00082981620760654246,-59.830870140327328
3995.991983967936,-0.014759079415879225,-102.12791375794086
4042.0841683366734,-0.039289795454785094,-144.49371444413453
4088.1763527054109,-0.073758635614890211,173.05697274518968
4134.2685370741483,-0.11567209155988994,130.57342582752005
4180.3607214428857,-0.16480759514350987,88.04460694611879
4226.4529058116232,-0.21725411731491584,45.45201169580973
4272.5450901803606,-0.27203266907716744,2.8311620003744622
4318.637274549098,-0.33007450141073924,-39.832342313681316
4364.7294589178355,-0.38253150562895899,-82.569961674559622
4410.8216432865729,-0.43089564058230845,-125.35705437450805
4456.9138276553103,-0.46660522501371682,-168.24602873639355
4503.0060120240478,-0.48671152096797377,148.74265037364012
4549.0981963927852,-0.4936939087776876,105.56307145410931
4595.1903807615226,-0.47337277964927682,62.174673880684608
4641.2825651302601,-0.43061398877678198,18.476789878894223
4687.3747494989984,-0.36283663308292358,-25.598824241281548
4733.4669338677359,-0.27418938571437362,-70.212900094704594
4779.5591182364733,-0.1689871903964601,-115.47013382645356
4825.6513026052107,-0.067473697785837533,-161.58026194689884
4871.7434869739482,-0.00071827067400853336,151.27682407062198
4917.8356713426856,-0.017640699689953791,102.95953562620178
4963.927855711423,-0.19154869496534721,53.467487035829251
5010.0200400801605,-0.60133445989104506,3.0945515227898142
5056.1122244488979,-1.3059654408837418,-47.668824038146923
5102.2044088176353,-2.3107105984428511,-98.067326619799758
5148.2965931863728,-3.5660917562478303,-147.48182187981661
